product_id,name,price,description,specifications,category,brand,image,rating,battery_life,windows_free,weight_kg,ram_gb,ssd_gb,display_size,processor_type
LG079,LG Model 79,94176,"LG laptop with Intel Core i5, 32GB, 256GB SSD, 16-inch QHD, and up to 12 hours battery life.","Intel Core i5, 32GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Business,LG,Image of LG Model 79 on a desk setup.,4.1,8,No,2.43,8,128,15.6-inch,Intel i3
APP080,Apple Model 80,36659,"Apple laptop with Intel Core i5, 32GB, 1TB SSD, 13.3-inch FHD, and up to 7 hours battery life.","Intel Core i5, 32GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 7 hrs",Convertible,Apple,Image of Apple Model 80 on a desk setup.,4.3,18,No,4.3,8,256,13.3-inch,Apple M1
ACE081,Acer Model 81,50422,"Acer laptop with Intel Core i3, 32GB, 512GB SSD, 15.6-inch FHD, and up to 11 hours battery life.","Intel Core i3, 32GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 11 hrs",Student,Acer,Image of Acer Model 81 on a desk setup.,4.8,13,No,4.41,12,128,14-inch,Intel i3
MIC082,Microsoft Model 82,33800,"Microsoft laptop with Intel Core i3, 16GB, 256GB SSD, 13.3-inch FHD, and up to 6 hours battery life.","Intel Core i3, 16GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 6 hrs",Convertible,Microsoft,Image of Microsoft Model 82 on a desk setup.,5.0,12,No,2.14,4,512,14-inch,Intel i5
SAM083,Samsung Model 83,76903,"Samsung laptop with AMD Ryzen 5, 16GB, 512GB SSD, 15.6-inch FHD, and up to 6 hours battery life.","AMD Ryzen 5, 16GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 6 hrs",Student,Samsung,Image of Samsung Model 83 on a desk setup.,4.4,12,No,2.21,12,512,15.6-inch,Intel i3
MIC084,Microsoft Model 84,36965,"Microsoft laptop with Intel Core i7, 16GB, 512GB SSD, 13.3-inch FHD, and up to 6 hours battery life.","Intel Core i7, 16GB, 512GB SSD, 13.3-inch FHD, Windows 11, battery life 6 hrs",Business,Microsoft,Image of Microsoft Model 84 on a desk setup.,4.8,4,Yes,2.8,10,128,15.6-inch,Intel i7
MSI085,MSI Model 85,41999,"MSI laptop with AMD Ryzen 7, 16GB, 256GB SSD, 14-inch FHD, and up to 6 hours battery life.","AMD Ryzen 7, 16GB, 256GB SSD, 14-inch FHD, Windows 11, battery life 6 hrs",Gaming,MSI,Image of MSI Model 85 on a desk setup.,4.6,12,No,2.68,10,256,14-inch,Intel i5
MIC086,Microsoft Model 86,77682,"Microsoft laptop with AMD Ryzen 5, 8GB, 256GB SSD, 15.6-inch FHD, and up to 6 hours battery life.","AMD Ryzen 5, 8GB, 256GB SSD, 15.6-inch FHD, Windows 11, battery life 6 hrs",Student,Microsoft,Image of Microsoft Model 86 on a desk setup.,5.0,10,No,4.48,10,512,15.6-inch,Intel i7
ASU087,Asus Model 87,73847,"Asus laptop with Intel Core i3, 16GB, 512GB SSD, 14-inch FHD, and up to 10 hours battery life.","Intel Core i3, 16GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 10 hrs",Workstation,Asus,Image of Asus Model 87 on a desk setup.,3.9,12,Yes,1.78,12,128,14-inch,Intel i5
LEN088,Lenovo Model 88,24018,"Lenovo laptop with AMD Ryzen 5, 8GB, 256GB SSD, 16-inch QHD, and up to 12 hours battery life.","AMD Ryzen 5, 8GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Convertible,Lenovo,Image of Lenovo Model 88 on a desk setup.,4.6,11,No,1.26,10,256,15.6-inch,Intel i7
HP089,HP Model 89,69602,"HP laptop with Intel Core i7, 32GB, 512GB SSD, 13.3-inch FHD, and up to 10 hours battery life.","Intel Core i7, 32GB, 512GB SSD, 13.3-inch FHD, Windows 11, battery life 10 hrs",Workstation,HP,Image of HP Model 89 on a desk setup.,4.8,4,Yes,2.83,12,256,14-inch,Intel i3
MSI090,MSI Model 90,67006,"MSI laptop with Intel Core i3, 8GB, 256GB SSD, 14-inch FHD, and up to 8 hours battery life.","Intel Core i3, 8GB, 256GB SSD, 14-inch FHD, Windows 11, battery life 8 hrs",Student,MSI,Image of MSI Model 90 on a desk setup.,4.6,11,Yes,1.79,10,512,15.6-inch,Intel i7
SAM091,Samsung Model 91,54160,"Samsung laptop with Intel Core i5, 16GB, 256GB SSD, 14-inch FHD, and up to 10 hours battery life.","Intel Core i5, 16GB, 256GB SSD, 14-inch FHD, Windows 11, battery life 10 hrs",Student,Samsung,Image of Samsung Model 91 on a desk setup.,4.8,11,No,2.41,8,512,14-inch,Intel i5
LEN092,Lenovo Model 92,36946,"Lenovo laptop with Intel Core i7, 32GB, 256GB SSD, 13.3-inch FHD, and up to 12 hours battery life.","Intel Core i7, 32GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 12 hrs",Gaming,Lenovo,Image of Lenovo Model 92 on a desk setup.,4.9,14,Yes,3.66,10,256,15.6-inch,Intel i5
ACE093,Acer Model 93,37668,"Acer laptop with Intel Core i3, 32GB, 1TB SSD, 13.3-inch FHD, and up to 9 hours battery life.","Intel Core i3, 32GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 9 hrs",Student,Acer,Image of Acer Model 93 on a desk setup.,3.8,6,Yes,3.58,12,512,14-inch,Intel i7
MSI094,MSI Model 94,33484,"MSI laptop with Intel Core i7, 16GB, 256GB SSD, 16-inch QHD, and up to 12 hours battery life.","Intel Core i7, 16GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Gaming,MSI,Image of MSI Model 94 on a desk setup.,4.9,4,Yes,2.22,6,256,15.6-inch,Intel i7
MIC095,Microsoft Model 95,65159,"Microsoft laptop with AMD Ryzen 7, 32GB, 256GB SSD, 17-inch FHD, and up to 7 hours battery life.","AMD Ryzen 7, 32GB, 256GB SSD, 17-inch FHD, Windows 11, battery life 7 hrs",Convertible,Microsoft,Image of Microsoft Model 95 on a desk setup.,3.8,11,Yes,2.99,10,256,14-inch,Intel i7
APP096,Apple Model 96,65098,"Apple laptop with Intel Core i7, 8GB, 256GB SSD, 13.3-inch FHD, and up to 9 hours battery life.","Intel Core i7, 8GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 9 hrs",Student,Apple,Image of Apple Model 96 on a desk setup.,4.2,18,No,2.88,8,256,13.3-inch,Apple M1
SAM097,Samsung Model 97,86255,"Samsung laptop with Intel Core i7, 8GB, 1TB SSD, 13.3-inch FHD, and up to 10 hours battery life.","Intel Core i7, 8GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 10 hrs",Gaming,Samsung,Image of Samsung Model 97 on a desk setup.,5.0,6,Yes,3.3,8,512,15.6-inch,Intel i7
SAM098,Samsung Model 98,27197,"Samsung laptop with AMD Ryzen 7, 32GB, 256GB SSD, 13.3-inch FHD, and up to 7 hours battery life.","AMD Ryzen 7, 32GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 7 hrs",Student,Samsung,Image of Samsung Model 98 on a desk setup.,4.3,4,No,2.03,4,128,14-inch,Intel i5
HP099,HP Model 99,84120,"HP laptop with Intel Core i5, 16GB, 256GB SSD, 13.3-inch FHD, and up to 8 hours battery life.","Intel Core i5, 16GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 8 hrs",Ultrabook,HP,Image of HP Model 99 on a desk setup.,3.6,14,Yes,3.15,8,128,15.6-inch,Intel i7
ASU100,Asus Model 100,36591,"Asus laptop with Intel Core i7, 32GB, 512GB SSD, 13.3-inch FHD, and up to 9 hours battery life.","Intel Core i7, 32GB, 512GB SSD, 13.3-inch FHD, Windows 11, battery life 9 hrs",Convertible,Asus,Image of Asus Model 100 on a desk setup.,4.6,8,Yes,4.43,10,512,14-inch,Intel i7
